"UserPrincipalName","DisplayName","GivenName","Surname","Department","JobTitle","UsageLocation","AccountEnabled","License","Password","Status","Group","Id"
"margaret.lopez@intbussmgt.onmicrosoft.com","Margaret Lopez","Margaret","Lopez","AlAin","Quantity Surveyor","US","True","None","7G!DD&wtNfNxy3","Created","Department_AlAin","1a2204ca-59f9-4b74-aed0-8c5e6053f1e5"
"michael.lopez@intbussmgt.onmicrosoft.com","Michael Lopez","Michael","Lopez","Plumbing","Intern","US","True","None","QqXb4ta58MAvb4","Created","Department_Plumbing","53878c05-ef13-404c-acb0-8440b00b079c"
"daniel.martin@intbussmgt.onmicrosoft.com","Daniel Martin","Daniel","Martin","Plumbing","Senior Plumbing Designer","US","True","None","eksGS5gmmQxALe","Created","Department_Plumbing","c8354b92-2adb-4dcc-a8c0-de0c54197486"
"james.martin@intbussmgt.onmicrosoft.com","James Martin","James","Martin","ME Admin","Intern","US","True","None","p6F1XHkv%aSkSA","Created","Department_ME Admin","4ba83723-a53d-4f21-90dd-398128ad1765"
"margaret.martin@intbussmgt.onmicrosoft.com","Margaret Martin","Margaret","Martin","Information Systems","Intern","US","True","None","S55Tx#rg$TWk&n","Created","Department_Information Systems","82e062dd-ce67-4c8b-85ee-9b08120e94f1"
"matthew.martin@intbussmgt.onmicrosoft.com","Matthew Martin","Matthew","Martin","Electrical","Sr. Electrical Designer | Associate","US","True","None","C#K^CN9nDYLq8x","Created","Department_Electrical","cbfd3433-466d-4b51-9d12-f5b629156ac1"
"robert.martin@intbussmgt.onmicrosoft.com","Robert Martin","Robert","Martin","Electrical","Project Manager | Associate","US","True","None","5^x&Ug3c5*C5BW","Created","Department_Electrical","238575c9-98ce-4e92-8f54-4ecd9700be50"
"steven.martin@intbussmgt.onmicrosoft.com","Steven Martin","Steven","Martin","Mafraq","Intern","US","True","None","$xTkgm4X*Ht4AE","Created","Department_Mafraq","9bac3ec1-0635-4d51-bd0f-28ad650383b0"
"emily.martinez@intbussmgt.onmicrosoft.com","Emily Martinez","Emily","Martinez","Mechanical","Intern","US","True","None","BbBLw*9b92u!Ay","Created","Department_Mechanical","0ab11c1c-75a4-4c36-b062-88594db1d736"
"sandra.martinez@intbussmgt.onmicrosoft.com","Sandra Martinez","Sandra","Martinez","ME Admin","Administrative Assistant","US","True","None","1DM3Tqek4&hH7N","Created","Department_ME Admin","5ac0fd60-c5e3-429a-a450-b0d116462b92"
"ashley.miller@intbussmgt.onmicrosoft.com","Ashley Miller","Ashley","Miller","CAD","CAD intern","US","True","None","NfswbLZsef1xHY","Created","Department_CAD","efdc1fe4-483a-4ddb-b551-44983a5cf1d1"
"christopher.miller@intbussmgt.onmicrosoft.com","Christopher Miller","Christopher","Miller","AlAin","Intern","US","True","None","wM7*2E!uy64V6g","Created","Department_AlAin","24902b20-9c50-4e0d-9c0f-a10a7dbe32ed"
"donald.miller@intbussmgt.onmicrosoft.com","Donald Miller","Donald","Miller","AlAin","Intern","US","True","None","qxLmVcprMkx5nC","Created","Department_AlAin","eef91f96-3635-4ced-a65e-f74abaf41b6c"
"emily.miller@intbussmgt.onmicrosoft.com","Emily Miller","Emily","Miller","Accounting","Controller | Associate","US","True","None","3RqyM#SP8YdCZE","Created","Department_Accounting","c5763119-ce2f-4dd9-b536-ae7041854abb"
"michael.perez@intbussmgt.onmicrosoft.com","Michael Perez","Michael","Perez","Administration","Vice President","US","True","None","GHA!C3CzbwbDa4","Created","Department_Administration","323e7b38-3436-4913-9227-72541742e97f"
"patricia.perez@intbussmgt.onmicrosoft.com","Patricia Perez","Patricia","Perez","ME Admin","Intern","US","True","None","d73uaNnNGQ$8fd","Created","Department_ME Admin","0b1d5491-b10b-492b-8870-f4242ec5ac5a"
"susan.perez@intbussmgt.onmicrosoft.com","Susan Perez","Susan","Perez","Electrical","Vice President","US","True","None","64fQ9pE2FqxFrd","Created","Department_Electrical","40e97d08-21f5-4670-8c2a-00784bdcd7c6"
"joseph.ramirez@intbussmgt.onmicrosoft.com","Joseph Ramirez","Joseph","Ramirez","Mechanical","Mechanical Designer","US","True","None","pPVD^GDzSnhh%q","Created","Department_Mechanical","d1fd77bb-f0cf-4f5a-a236-45f68911d49f"
"kimberly.ramirez@intbussmgt.onmicrosoft.com","Kimberly Ramirez","Kimberly","Ramirez","Dubai","Intern","US","True","None","F2EWLMaahHHwC*","Created","Department_Dubai","a897299a-e9cd-4dc7-b614-c29b448b424a"
"michael.ramirez@intbussmgt.onmicrosoft.com","Michael Ramirez","Michael","Ramirez","CAD","CAD Specialist","US","True","None","!1a8TEADPrdE^V","Created","Department_CAD","92e8781d-d8a4-4117-91e3-5a67e7a36583"
"patricia.ramirez@intbussmgt.onmicrosoft.com","Patricia Ramirez","Patricia","Ramirez","Electrical","Sr. Project Manager","US","True","None","YF*SQxQRaa^q3S","Created","Department_Electrical","32874c3b-00b6-4408-a1c8-000c8c0877b1"
"kimberly.robinson@intbussmgt.onmicrosoft.com","Kimberly Robinson","Kimberly","Robinson","Mechanical","Mechanical Designer","US","True","None","epAFQw47dRHKNX","Created","Department_Mechanical","e21d5ee2-554a-47ed-8474-d9a7e33fbf6a"
"linda.robinson@intbussmgt.onmicrosoft.com","Linda Robinson","Linda","Robinson","Electrical","Electrical Designer","US","True","None","C*N78Mc*d#Nz9t","Created","Department_Electrical","2c9bf2b2-fde5-4b43-a3f4-fb95e95e8a92"
"sarah.robinson@intbussmgt.onmicrosoft.com","Sarah Robinson","Sarah","Robinson","ME Admin","Intern","US","True","None","5TV8AW5dyU4E26","Created","Department_ME Admin","6b6d1684-768a-45ce-833a-7534341c45c2"
"sarah.thompson@intbussmgt.onmicrosoft.com","Sarah Thompson","Sarah","Thompson","HR","Human Resources Generalist","US","True","None","X8H59LE!Dppa1g","Created","Department_HR","ebe5e071-b5c4-4638-8723-6e4376cacfb3"
"betty.white@intbussmgt.onmicrosoft.com","Betty White","Betty","White","ME Admin","Intern","US","True","None","qGL7Ca8$TDz*e7","Created","Department_ME Admin","bd677b2a-1336-4f95-95dd-e5ef3be74d78"
"donna.white@intbussmgt.onmicrosoft.com","Donna White","Donna","White","Dubai","Secretary","US","True","None","f83vgd$f$A5YSL","Created","Department_Dubai","82080df4-1d18-433f-bdb8-15579b4826a4"
"james.white@intbussmgt.onmicrosoft.com","James White","James","White","Mechanical","Designer","US","True","None","m*q6CXmcU!s!u6","Created","Department_Mechanical","16130961-2a72-4959-9cf9-0f93b524229b"
"jessica.white@intbussmgt.onmicrosoft.com","Jessica White","Jessica","White","Plumbing","Sr. Designer","US","True","None","yBZ%%^uv2Bmv#m","Created","Department_Plumbing","dced1315-d0d4-4005-9211-e66b6e91935b"
"john.white@intbussmgt.onmicrosoft.com","John White","John","White","Mechanical","Sr Mechanical Engineer | Associate","US","True","None","&gnDs@SRt$gWtt","Created","Department_Mechanical","6c341699-8c24-4aec-91cb-36a7888a775e"
"andrew.williams@intbussmgt.onmicrosoft.com","Andrew Williams","Andrew","Williams","Mechanical","Mechanical Designer","US","True","None","6MqBPCrp3*#CH8","Created","Department_Mechanical","853d6dd5-4e63-4980-99ab-5ce5be863e45"
"ashley.williams@intbussmgt.onmicrosoft.com","Ashley Williams","Ashley","Williams","Mechanical","Project Manager | Associate","US","True","None","myxM!BwBeD9wdh","Created","Department_Mechanical","d90aa027-0688-4059-8dd2-2f9ba5a9cf02"
"barbara.williams@intbussmgt.onmicrosoft.com","Barbara Williams","Barbara","Williams","Mechanical","Mechanical Intern","US","True","None","7bQwMKFeVLu78D","Created","Department_Mechanical","23af46ea-15ca-49b0-96b0-d94229ae143c"
"charles.williams@intbussmgt.onmicrosoft.com","Charles Williams","Charles","Williams","CAD","Intern","US","True","None","M!$tq#w8zcs1k3","Created","Department_CAD","245d8d17-3bbe-468c-8aa1-51bd6375d221"
"james.williams@intbussmgt.onmicrosoft.com","James Williams","James","Williams","ME Admin","Office Manager","US","True","None","1AGm8rR#sZuqth","Created","Department_ME Admin","d58e30ec-ea13-440e-9def-40503b9e5d44"
"joseph.williams@intbussmgt.onmicrosoft.com","Joseph Williams","Joseph","Williams","Mafraq","Intern","US","True","None","3ytnpX%!GfdES7","Created","Department_Mafraq","5da15e4a-e219-4128-82cc-7a81200e7807"
"paul.williams@intbussmgt.onmicrosoft.com","Paul Williams","Paul","Williams","Mechanical","Mechanical Designer","US","True","None","5*fwdW7rp@^!hr","Created","Department_Mechanical","94b5bc43-7e38-48c2-af66-ed480fff3eb1"
"sarah.williams@intbussmgt.onmicrosoft.com","Sarah Williams","Sarah","Williams","ADMRC & DPSC","Document Controller","US","True","None","z@CE!@Zp2PYC&$","Created","Department_ADMRC & DPSC","d0011cee-6c65-4478-8de7-205a4fc65e78"
"charles.wilson@intbussmgt.onmicrosoft.com","Charles Wilson","Charles","Wilson","Mechanical","Mechanical Designer","US","True","None","1&U48dBeC7deHu","Created","Department_Mechanical","e2dc345c-395f-4683-981a-e28627d95263"
"donna.wilson@intbussmgt.onmicrosoft.com","Donna Wilson","Donna","Wilson","Mechanical","Mechanical Intern","US","True","None","ABVvte2BY22cHz","Created","Department_Mechanical","c693ec51-d9cf-421d-906d-ad0a363d2f93"
"joshua.wilson@intbussmgt.onmicrosoft.com","Joshua Wilson","Joshua","Wilson","Mafraq","Intern","US","True","None","NN!d6s2x!eThvp","Created","Department_Mafraq","883caaa5-1e74-41f9-baf9-63bfa9d01fe6"
"margaret.wilson@intbussmgt.onmicrosoft.com","Margaret Wilson","Margaret","Wilson","Mechanical","Vice President","US","True","None","58RNPebCmdUUbw","Created","Department_Mechanical","dc8083e5-9b7c-44bf-a3a4-8091339059ad"
"paul.wilson@intbussmgt.onmicrosoft.com","Paul Wilson","Paul","Wilson","Mechanical","Mechanical Engineer","US","True","None","fgwRErwPm6*UqG","Created","Department_Mechanical","81084d0f-7519-4902-8f67-3266349b6d35"
"william.wilson@intbussmgt.onmicrosoft.com","William Wilson","William","Wilson","Plumbing","Plumbing Department Head","US","True","None","pNHx84Sk^kWbnB","Created","Department_Plumbing","5b1fdce3-9950-45bd-a1c8-11d8d2e62786"
